;10;100;1000;10000;100000;1000000;
1;200633;349586;2082367;2317674;8525318;42470210;
2;193853;178419;662727;2490398;13534504;55623272;
4;137945;154659;672160;3911546;21504832;36108279;
8;98361;113904;685838;3060052;13480405;24273929;
16;111375;783644;557986;5377264;13218841;25234154;
32;85868;362738;607515;2510368;15557041;28436971;
64;124876;373228;1434321;3674957;18318893;31247894;
128;84276;243236;1348770;3539118;17273685;28285873;
256;115159;405389;4904611;7000312;14066864;31330206;
