;10;100;1000;10000;100000;1000000;
1;66490;75945;412259;2871726;26412592;241750257;
2;127346;113755;415172;2487916;21316810;217146593;
4;116603;194021;925752;2476245;25788508;186444562;
8;174057;348709;518173;2372865;19455656;197840659;
16;114616;519671;732898;2548630;19463886;197611085;
32;132654;625975;1039190;2852102;20695142;229366039;
64;213224;1598069;3979257;4050764;20680940;234897786;
128;260272;2115853;11054435;11265962;26158997;247714194;
256;693880;4731959;34989222;32801416;55642531;282431303;
